,INVENTORY LIST,,,,,,,,,,,,,,,,,,,,
,TOTAL INVENTORY VALUE:,$0.00 ,INVENTORY ITEMS:,INVENTORY ITEMS:,83,BIN COUNT:,,1,,,,,,,,,,,,,
,SKU,DESCRIPTION,BIN #,LOCATION,UNIT,QTY,REORDER QTY,COST,INVENTORY VALUE,REORDER,,,,,,,,,,,
,24003,LCS shroud assy,,Row 1,Each,5,1,,$0.00 ,,,,,,,,,,,,
,24007,LCS jet sub-assy,,Row 1,Each,7,1,,$0.00 ,,,,,,,,,,,,
,24000,LCS Base Plate,,Row 1,Each,12,1,,$0.00 ,,,,,,,,,,,,
,99123,eBox for LIFT5 and LIFTX (H),,Row 2,Each,8,3,,$0.00 ,,,,,,,,,,,,
,99118,eBox for Lift3,,Row 2,Each,1,0,,$0.00 ,,,,,,,,,,,,
,102278,OCHO MAST LCS SUBASSEMBLY,,Row 2,Each,7,3,,$0.00 ,,,,,,,,,,,,
,34000,"28"" Std Propulsion - Carbon",,Row 3-0,Each,4,2,,$0.00 ,,,,,,,,,,,,
,340506,"32"" Carbon LCS folding High Mount Propulsion for LIFTX",,Row 3-1,Each,3,1,,$0.00 ,,,,,,,,,,,,
,340507,"33"" Carbon LCS Folding High SuperMount Propulsion for LIFTX",,Row 3-1,Each,3,1,,$0.00 ,,,,,,,,,,,,
,340505,"32"" Carbon LCS Folding Propulsion for LIFTX",,Row 3-1,Each,1,1,,$0.00 ,Reorder,,,,,,,,,,,
,REFURB-340500,"28"" Aluminum Jet Propulsion for LIFT5F",,Row 3-1,Each,1,,,$0.00 ,,,,,,,,,,,,
,52004,Blowfish 4'4,,Row 3-2,Each,2,0,,$0.00 ,,,,,,,,,,,,
,52000,Blowfish 4'9,,Row 3-2,Each,1,0,,$0.00 ,,,,,,,,,,,,
,440000,LIFTX Battery Adapter,,Row 3-2,Each,4,0,,$0.00 ,,,,,,,,,,,,
,31122,Battery Charger Assembly for Lift4,,Row 3-2,Each,4,1,,$0.00 ,,,,,,,,,,,,
,102545,Lift Charger L5/LX,,Row 3-2,Each,3,1,,$0.00 ,,,,,,,,,,,,
,21107,AC Cord - Euro,,Row 3-2,Each,35,3,,$0.00 ,,,,,,,,,,,,
,430003,LiftX Light Battery,,Row 3-2,Each,5,1,,$0.00 ,,,,,,,,,,,,
,430002,LiftX Battery,,Row 3-2,Each,2,1,,$0.00 ,,,,,,,,,,,,
,33065,130 Florence X - Front Wing,,Row 4-0,Each,15,1,,$0.00 ,,,,,,,,,,,,
,33055,110 Florence X - Fron Wing,,Row 4-0,Each,15,1,,$0.00 ,,,,,,,,,,,,
,440001,Lift Foil Stand,,Row 4-1,Each,3,,,$0.00 ,,,,,,,,,,,,
,440001,Lift Foil Stand,,Cabana,Each,2,,,$0.00 ,,,,,,,,,,,,
,11000,Aluminum battery case - Gen4 batteries,,Row 4-1,Each,14,,,$0.00 ,,,,,,,,,,,,
,32150,Gen4 Full Range battery pack,,Row 5-0,Each,5,0,,$0.00 ,,,,,,,,,,,,
,430000,Gen5 Full Range battery pack,,Row 5-0,Each,0,,,$0.00 ,Reorder,,,,,,,,,,,
,840003,Battery backpack for Gen5,,Row 5-1,Each,8,0,,$0.00 ,,,,,,,,,,,,
,840004,Battery backpack for LiftX,,Row 5-1,Each,3,0,,$0.00 ,,,,,,,,,,,,
,999511,LIFT5 5'4 Sun Kissed,,Board wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,999511,LIFT5 5'4 Sun Kissed,,Cabana,Each,1,,,$0.00 ,,,,,,,,,,,,
,999530,LIFT5 5'2 Laird Carbon Hex Black,,Board wall,Each,1,,,$0.00 ,,,,,,,,,,,,
